1.0   0.2085473363  1.0000000000  0.0000000000
2.0   0.1667774491  1.0000000000  0.0000000000
3.0   0.1253292387  1.0000000000  0.0000000000
4.0   0.0850994939  1.0000000000  0.0000000000
5.0   0.0465134235  1.0000000000  0.0000000000
5.5   0.0284712509  1.0000000000 -0.0000000000
6.0   0.0160002780  1.0000000539 -0.0000143290
7.0   0.0118150160  0.9999976551 -0.0005684076
8.0   0.0090362899  1.0000000000  0.0000000012
9.0   0.0069517432  0.9999999994  0.0000000006
10.0  0.0053920335  1.0000000000 -0.0000000002
11.0  0.0042515171  1.0000000000  0.0000000001
